continent,arima_mae,arima_rmse,arima_mape,prophet_mae,prophet_rmse,prophet_mape
Europe,49474982882.85255,55284403710.148445,8.975730004482344,33732346120.652084,39917772704.08503,8.797052850630957
Africa,24876109953.120403,26273784120.518177,10.775094196570763,20387870001.275993,22453478640.962273,17.688162896015015
Australia,11318989774.61932,12016715799.873707,10.795526851051367,3141553302.9217305,3244394350.173815,8.223946623138014
South America,55780350925.52937,60380302379.51196,16.60052774266778,43022084524.8132,44883485169.16279,14.559954759722837
Asia,192094764428.3555,199954519736.68695,21.68516421495449,108246032600.38103,111952871408.46016,15.482864483356458
North America,586252115935.2311,597717067872.8265,7.574070754721255,790127692374.306,818588135791.649,6.35142036965588
